type,queueSize,generated,collected,elapsedInMicros,retryOnFull
LockFreeBased,1024,3000,3000,109,0
LockFreeBased,2048,3000,3000,132,1
LockFreeBased,2048,3000,3000,242,0
LockFreeBased,4096,3000,3000,175,1
LockFreeBased,4096,3000,3000,129,0
LockFreeBased,8192,3000,3000,169,1
LockFreeBased,8192,3000,0,129,0
LockFreeBased,256,3500,3500,148,1
LockFreeBased,256,3500,255,125,0
LockFreeBased,512,3500,3500,105,1
LockFreeBased,512,3500,3500,169,0
LockFreeBased,1024,3500,3500,178,1
LockFreeBased,1024,3500,3500,166,0
LockFreeBased,2048,3500,3500,208,1
LockFreeBased,2048,3500,0,270,0
LockFreeBased,4096,3500,3500,282,1
LockFreeBased,4096,3500,3500,149,0
LockFreeBased,8192,3500,3500,155,1
LockFreeBased,8192,3500,3500,185,0
LockFreeBased,256,4000,4000,230,1
LockFreeBased,256,4000,4000,238,0
LockFreeBased,512,4000,4000,240,1
LockFreeBased,512,4000,4000,317,0
LockFreeBased,1024,4000,4000,273,1
LockFreeBased,1024,4000,4000,373,0
LockFreeBased,2048,4000,4000,185,1
LockFreeBased,2048,4000,2047,678,0
LockFreeBased,4096,4000,4000,157,1
LockFreeBased,4096,4000,4000,272,0
LockFreeBased,8192,4000,4000,189,1
LockFreeBased,8192,4000,4000,173,0
LockFreeBased,256,4500,4500,131,1
LockFreeBased,256,4500,4500,211,0
LockFreeBased,512,4500,4500,252,1
LockFreeBased,512,4500,4500,158,0
LockFreeBased,1024,4500,4500,146,1
LockFreeBased,1024,4500,4500,243,0
LockFreeBased,2048,4500,4500,100,1
LockFreeBased,2048,4500,4500,182,0
LockFreeBased,4096,4500,4500,150,1
LockFreeBased,4096,4500,4500,144,0
LockFreeBased,8192,4500,4500,156,1
LockFreeBased,8192,4500,4500,114,0
LockFreeBased,256,5000,5000,170,1
LockFreeBased,256,5000,4722,113,0
LockFreeBased,512,5000,5000,147,1
LockFreeBased,512,5000,4906,111,0
LockFreeBased,1024,5000,5000,184,1
LockFreeBased,1024,5000,4160,149,0
LockFreeBased,2048,5000,5000,238,1
LockFreeBased,2048,5000,5000,183,0
LockFreeBased,4096,5000,5000,285,1
LockFreeBased,4096,5000,5000,180,0
LockFreeBased,8192,5000,5000,238,1
LockFreeBased,8192,5000,5000,180,0
LockFreeBased,256,10000,10000,147,1
