type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,700,17000,13066,2901,0
MutexBased,800,17000,17000,2973,1
MutexBased,800,17000,16926,2564,0
MutexBased,900,17000,17000,2375,1
MutexBased,900,17000,15429,2155,0
MutexBased,1000,17000,17000,2718,1
MutexBased,1000,17000,15925,2444,0
MutexBased,1100,17000,17000,2820,1
MutexBased,1100,17000,9845,1836,0
MutexBased,1200,17000,17000,2519,1
MutexBased,1200,17000,16314,2422,0
MutexBased,1300,17000,17000,2950,1
MutexBased,1300,17000,17000,2518,0
MutexBased,1400,17000,17000,3221,1
MutexBased,1400,17000,3817,875,0
MutexBased,1500,17000,17000,3261,1
MutexBased,1500,17000,7758,2323,0
MutexBased,1600,17000,17000,6080,1
MutexBased,1600,17000,12877,1997,0
MutexBased,1700,17000,17000,3067,1
MutexBased,1700,17000,9949,1543,0
MutexBased,1800,17000,17000,3669,1
MutexBased,1800,17000,13591,2019,0
MutexBased,1900,17000,17000,2895,1
MutexBased,1900,17000,11337,2105,0
MutexBased,2000,17000,17000,2424,1
MutexBased,2000,17000,17000,2326,0
MutexBased,100,18000,18000,4238,1
MutexBased,100,18000,12349,2583,0
MutexBased,200,18000,18000,2847,1
MutexBased,200,18000,14458,2533,0
MutexBased,300,18000,18000,3507,1
MutexBased,300,18000,13766,2540,0
MutexBased,400,18000,18000,4111,1
MutexBased,400,18000,15369,2696,0
MutexBased,500,18000,18000,2795,1
MutexBased,500,18000,17504,3489,0
MutexBased,600,18000,18000,3540,1
MutexBased,600,18000,17331,2785,0
MutexBased,700,18000,18000,3424,1
MutexBased,700,18000,16956,3083,0
MutexBased,800,18000,18000,2912,1
MutexBased,800,18000,10236,1924,0
MutexBased,900,18000,18000,2849,1
MutexBased,900,18000,18000,3065,0
MutexBased,1000,18000,18000,2869,1
MutexBased,1000,18000,15901,3098,0
MutexBased,1100,18000,18000,2878,1
MutexBased,1100,18000,5874,1593,0
MutexBased,1200,18000,18000,2842,1
MutexBased,1200,18000,18000,2811,0
MutexBased,1300,18000,18000,3206,1
MutexBased,1300,18000,17364,2528,0
MutexBased,1400,18000,18000,3441,1
MutexBased,1400,18000,16174,2524,0
MutexBased,1500,18000,18000,3003,1
MutexBased,1500,18000,14742,2409,0
MutexBased,1600,18000,18000,3251,1
MutexBased,1600,18000,17262,2625,0
MutexBased,1700,18000,18000,2394,1
MutexBased,1700,18000,7236,1631,0
MutexBased,1800,18000,18000,2757,1
MutexBased,1800,18000,13593,1864,0
MutexBased,1900,18000,18000,2838,1
MutexBased,1900,18000,10147,2112,0
